,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,cluster
0,40.900749,95.4,0.0,1000.0,201.802084,139.50978700000002,4
1,3202.467416,0.0,6442.9454829999995,7000.0,4103.032596999999,1072.340217,3
2,2495.148862,773.17,0.0,7500.0,622.066742,627.284787,4
4,817.714335,16.0,0.0,1200.0,678.334763,244.79123700000002,3
5,1809.8287510000002,1333.28,0.0,1800.0,1400.05777,2407.246035,1
6,627.260806,7091.01,0.0,13500.0,6354.314328,198.065894,0
7,1823.6527429999999,436.2,0.0,2300.0,679.0650820000001,532.03399,3
8,1014.9264730000001,861.49,0.0,7000.0,688.278568,311.963409,4
9,152.225975,1281.6,0.0,11000.0,1164.770591,100.302262,4
10,1293.124939,920.12,0.0,1200.0,1083.301007,2172.697765,1
11,630.794744,1492.18,0.0,2000.0,705.618627,155.549069,0
12,1516.92862,3217.99,0.0,3000.0,608.263689,490.20701299999996,2
13,921.693369,2137.93,0.0,7500.0,1655.891435,251.13798599999998,0
14,2772.772734,0.0,346.81139,3000.0,805.647974,989.962866,3
15,6886.213231000001,1611.7,2301.4912670000003,8000.0,1993.439277,2109.90649,3
16,2072.074354,0.0,2784.274703,3000.0,391.974562,376.579631,3
17,41.089489,519.0,0.0,2500.0,254.590662,73.203221,4
18,1989.0722280000002,504.35,0.0,13000.0,1720.837373,744.613395,4
19,3577.9709329999996,398.64,0.0,4000.0,1053.980464,12465.54938,3
20,2016.6846859999998,176.68,0.0,2000.0,223.0686,13557.29726,3
21,6369.531318,6359.95,229.02824500000003,11250.0,2077.9590510000003,1659.775075,0
22,132.34224,815.9,0.0,1800.0,2359.629958,86.329554,2
23,3800.151377,4248.35,7974.415626000001,9000.0,9479.043842000001,1425.426525,1
24,5368.5712189999995,0.0,798.9498629999999,6000.0,1422.726707,1657.002877,3
25,169.781679,399.6,0.0,3000.0,215.306142,163.005536,4
26,1615.96724,102.0,244.840485,1700.0,890.1788449999999,971.183209,3
27,125.69481699999999,233.28,0.0,1000.0,207.77371499999998,164.748819,4
28,7152.864372,387.05,2236.145259,10500.0,1601.448347,1648.851345,3
29,22.063489999999998,100.0,0.0,6900.0,160.767773,159.684442,4
30,12136.219959999999,3038.01,3183.583301,13000.0,4230.323490999999,3292.01503,3
31,1162.273324,1347.71,175.815755,6000.0,645.998299,256.848991,4
32,6732.823064,324.95,1189.533753,10500.0,1720.1188760000002,2506.745366,3
33,125.660453,636.79,0.0,1200.0,423.449696,196.301885,0
34,3517.1016159999995,547.28,0.0,11000.0,8735.607834999999,17862.55831,1
35,1656.350781,0.0,99.26436700000001,1800.0,351.500199,634.5693110000001,3
36,7427.076940999999,0.0,8873.375046,9000.0,1636.361601,1986.843608,3
37,4047.480828,2380.55,1697.6609010000002,5000.0,1617.894416,1541.141605,1
38,6269.418144,204.0,2925.699862,9000.0,1237.111661,2049.408839,3
39,1411.60223,963.24,6173.682877,7500.0,20071.07544,719.948985,1
40,663.44781,0.0,3133.063934,1800.0,3067.05783,283.33344500000004,1
41,784.889762,1526.59,2188.419607,3000.0,1262.309666,363.142736,1
42,4104.710798,203.82,0.0,4500.0,868.275275,1801.264841,3
43,1360.742377,0.0,1481.5870929999999,1500.0,378.294227,321.35413700000004,3
44,5315.945594,1525.44,0.0,8500.0,1430.3415009999999,1318.71492,3
46,474.447149,109.74,1013.659552,1700.0,176.013005,147.199792,3
48,229.867179,2390.6,0.0,3300.0,2543.953559,175.657825,2
49,863.809833,507.5,695.097159,4000.0,587.866451,286.448719,4
50,4931.331857,901.42,8530.648614,12000.0,8113.297345999999,1012.4159609999999,3
51,1078.888565,3107.85,0.0,2500.0,1399.82834,1322.4466009999999,2
52,1565.6810990000001,0.0,321.35913500000004,3500.0,691.825279,581.481917,3
53,464.674156,1979.22,1981.265503,3000.0,3110.0527420000003,132.446091,2
57,2386.330629,5217.62,0.0,7500.0,5678.729613,1311.514878,2
58,3971.1387649999997,0.0,224.575517,4000.0,764.9387280000001,1600.212243,3
59,5493.90406,229.0,970.5913320000001,6000.0,2110.557023,1895.0261699999999,3
60,1879.1140329999998,113.0,0.0,6500.0,3509.686561,548.1058360000001,0
61,1555.793701,66.2,0.0,1600.0,338.083661,837.215674,3
62,809.582978,0.0,3819.6724659999995,4150.0,4372.148647999999,241.645387,1
64,1923.886805,1887.64,1605.9493710000002,1850.0,3688.0459979999996,3266.996777,1
65,1758.059987,412.33,0.0,1800.0,777.4516480000001,897.905444,1
66,809.847455,0.0,908.4236080000001,1500.0,146.074769,179.41249299999998,3
67,1576.3050289999999,0.0,382.908547,2500.0,540.022225,352.883804,3
68,3990.5235789999997,263.5,0.0,6000.0,6876.836205,1001.6073660000001,1
69,1699.4354859999999,1363.69,0.0,1700.0,1623.816348,923.505868,1
70,5487.683724,419.1,625.399386,6250.0,1288.214909,2180.881868,3
71,2990.422186,4523.27,27296.485760000003,7000.0,28232.694460000002,1107.0308029999999,1
72,656.01301,0.0,1474.349901,7000.0,910.457985,140.983193,4
73,1808.9724190000002,713.9,0.0,2250.0,889.017418,622.757696,1
74,532.334517,791.94,0.0,6000.0,1305.1773039999998,175.510344,4
75,5860.433624,561.87,0.0,6000.0,1990.044998,2161.428274,3
76,1727.6384489999998,606.11,0.0,11000.0,2959.920544,623.6569929999999,4
77,578.809679,320.0,0.0,1500.0,1438.910569,190.186542,0
78,1205.716678,0.0,38.325801,1200.0,29.278671000000003,8242.687678,3
79,6593.820643999999,388.66,4621.93458,7000.0,1624.583114,2503.4023399999996,3
80,17.357563,244.85,0.0,5000.0,357.802082,121.523416,4
81,81.584711,0.0,2985.300006,9500.0,116.569033,164.692136,4
82,3.78631,133.05,0.0,12000.0,210.053432,99.533735,4
83,42.46443,396.0,0.0,1200.0,725.6061940000001,140.80945400000002,0
84,1935.362486,4915.6,293.844792,9000.0,4921.066897,594.7566860000001,0
85,134.917202,1247.8,0.0,16500.0,1275.2294359999999,171.35718899999998,4
86,7069.9503859999995,1603.78,5626.004046,11000.0,4589.8738969999995,1876.262988,3
87,8181.251131,2258.01,5251.228934000001,13500.0,3021.575846,2074.581541,3
88,4037.3056579999998,45.0,104.23806400000001,4500.0,1073.844885,968.941265,3
89,6110.265264,0.0,2717.253917,6500.0,1502.205631,2864.380327,3
90,9381.255094,5100.07,370.73719700000004,9000.0,6409.4963450000005,9827.045323,1
91,1977.0070899999998,1032.04,4335.919227,4000.0,3056.424974,910.707525,1
92,1321.4760800000001,45.65,495.657934,1800.0,440.84043899999995,312.560636,3
95,1139.782882,0.0,120.61291200000001,1200.0,151.823651,2906.110765,3
96,1619.955708,739.44,0.0,6000.0,417.128532,389.138517,4
98,4.708041000000001,79.0,0.0,7000.0,217.820198,121.781205,4
100,4.875885,20.0,0.0,1500.0,26.487919,60.913577000000004,4
101,23.394410999999998,1346.28,0.0,2000.0,712.1491530000001,54.79166,0
102,3539.801912,2823.8,0.0,5700.0,9172.788365999999,2103.796148,2
104,862.0723800000001,0.0,920.3098050000001,4000.0,2236.8902550000003,214.828158,3
105,2441.542991,808.0,959.8572630000001,4000.0,532.741699,1026.976,3
106,408.656365,941.64,0.0,2500.0,1097.7894199999998,176.610605,0
107,4986.400804,0.0,5439.467563,8000.0,1241.538024,1439.2308990000001,3
108,1246.624558,423.7,412.399058,2000.0,577.050373,498.36541900000003,3
109,6644.201650999999,4478.75,7205.520805,9000.0,10857.94321,2469.571326,1
110,156.216753,1354.86,0.0,5500.0,858.976682,108.319927,4
112,5322.994094,2812.2,2510.3529510000003,8500.0,1509.423237,1834.0315690000002,3
113,6458.562089999999,0.0,3360.2287939999997,7000.0,1277.7677800000001,2760.115734,3
114,175.341651,1508.9,0.0,5000.0,1884.2277780000002,136.639824,0
115,680.195157,1045.57,0.0,3000.0,552.4323049999999,207.720441,0
116,223.763616,2309.78,0.0,6500.0,1206.81188,99.372848,0
117,1785.626943,0.0,576.2063820000001,1800.0,687.691735,2439.136113,1
118,54.933231000000006,495.0,0.0,7000.0,1969.845566,147.049952,4
119,2662.629852,0.0,509.023801,3000.0,932.4188550000001,709.2070160000001,3
120,8504.876253,6724.26,1686.599777,17000.0,1888.7568609999998,2167.446204,0
122,2114.1586829999997,5580.85,0.0,8500.0,3564.9777740000004,630.00413,0
123,2876.396444,0.0,998.84867,3200.0,1065.426905,1412.648089,3
124,14224.115409999999,0.0,4614.427403,19000.0,3066.614272,3406.258999,3
125,2392.917738,12462.44,0.0,2800.0,11628.71557,2000.990921,2
126,57.453201,0.0,272.713302,1200.0,385.853874,84.697292,4
127,4245.855092,1957.3,0.0,5000.0,1004.35474,1086.428906,3
128,11167.23403,150.64,8362.154254000001,17000.0,2606.059389,2894.077159,3
131,4637.848144,1271.12,0.0,5000.0,1906.032044,3572.279251,1
132,24.28497,250.6,0.0,3000.0,319.762903,173.63200600000002,4
133,9354.06045,796.33,13748.471309999999,13000.0,10664.65866,2600.875721,1
134,231.10899500000002,440.0,0.0,4000.0,554.116542,185.091037,4
135,1562.633343,1330.62,0.0,2000.0,1020.7836470000001,709.610053,1
136,2494.868559,5491.79,0.0,17000.0,1015.3119529999999,615.92402,4
137,706.132889,897.86,586.268966,1200.0,972.358048,184.524376,1
138,19043.13856,22009.92,0.0,18000.0,23018.57583,18621.01331,2
139,2235.103331,720.6,723.308724,2500.0,1061.292471,689.118919,1
140,947.13081,197.06,0.0,1000.0,492.20041900000007,509.384182,1
141,764.042156,0.0,1307.102516,7500.0,1566.8068970000002,172.959728,4
143,10598.467770000001,2084.48,0.0,21500.0,3219.621433,3068.125648,4
144,2163.678757,5779.36,0.0,6500.0,4416.412679999999,546.439139,2
145,3057.400553,1025.0,0.0,7500.0,698.854095,819.682666,4
147,264.811595,28.65,384.26178,9000.0,1235.630069,194.324456,4
148,1108.22253,944.96,0.0,1500.0,1955.198953,992.652486,2
149,906.573724,1039.2,103.102091,13500.0,1855.2354070000001,468.19673200000005,4
150,7679.629040000001,4059.93,555.469352,7000.0,3685.6106200000004,12854.9397,1
151,1523.911458,4075.37,0.0,6500.0,2254.2600199999997,329.29648,0
152,49.206255999999996,870.24,0.0,8000.0,835.8399519999999,193.011166,4
153,13673.079609999999,9792.23,2444.445738,20000.0,11717.30794,6042.391629,1
154,106.455975,2463.12,0.0,4000.0,2573.722764,95.342224,0
155,119.76090400000001,1859.34,0.0,20000.0,3104.275623,288.90362799999997,4
157,1734.510004,0.0,66.275851,1800.0,363.474455,2827.997525,1
158,2765.7482809999997,7283.31,0.0,11000.0,14373.3929,1058.128452,2
159,1046.37041,295.0,93.579809,1200.0,439.407082,362.838185,1
160,2737.367678,0.0,429.69116399999996,3000.0,778.827993,721.798576,3
161,4014.8181670000004,0.0,988.356213,8500.0,1009.185035,1177.149934,3
162,871.5689769999999,648.22,0.0,1200.0,1110.886425,208.298424,2
163,1610.040203,557.19,0.0,4000.0,422.71184800000003,616.0058389999999,4
164,114.59381699999999,469.98,0.0,1000.0,367.109312,86.102479,0
165,5800.587339,0.0,369.950794,6500.0,1346.365584,1972.526015,3
166,823.103926,131.64,0.0,8000.0,2916.071564,243.199498,4
167,595.677343,5078.14,1424.4426019999999,15000.0,4756.654374000001,241.894073,0
168,1128.124563,924.6,0.0,1000.0,1202.711782,1747.037345,1
169,349.441102,1975.4,0.0,4000.0,1795.012223,167.219681,0
170,840.804076,0.0,3671.777443,4000.0,3621.266477,193.171404,1
171,975.942008,10221.35,1620.685551,10500.0,10693.49585,347.641073,2
172,23.111088,300.0,0.0,12500.0,291.948834,43.452683,4
173,2187.7322649999996,0.0,3905.3262560000003,3000.0,1423.788603,461.36562599999996,3
174,11972.011040000001,5715.0,1626.351366,14000.0,4639.513745,3192.3060179999998,1
175,1608.451822,0.0,205.737165,1800.0,470.56598399999996,408.799147,3
177,2933.240476,0.0,2040.433925,3000.0,2431.578544,1739.74883,1
178,336.799916,3535.8,0.0,20000.0,2814.2312269999998,186.230835,4
179,36.236312,256.11,0.0,5300.0,831.375322,189.036967,4
180,903.2978099999999,2697.48,0.0,2500.0,1686.1963440000002,303.361632,2
182,2881.253586,117.0,17661.49486,4500.0,17301.83238,931.618475,1
184,117.44268400000001,653.73,0.0,10000.0,441.588141,136.827952,4
185,168.52270900000002,2009.05,0.0,1200.0,2612.7604969999998,197.63855800000002,2
186,1706.014379,147.78,1657.090283,6000.0,1186.0627650000001,374.595505,3
187,874.583247,516.54,0.0,900.0,579.749308,693.894717,1
189,966.251742,311.45,955.959749,1500.0,277.522439,286.299328,3
190,38.615644,280.4,0.0,6150.0,254.39298399999998,55.79974,4
192,40.417255,79.2,1631.576375,4000.0,1647.880773,24.815878,4
193,5462.897068,1453.32,0.0,16500.0,1382.269127,1755.253802,4
194,3983.9237049999997,756.54,0.0,4000.0,1110.870941,1431.2011710000002,3
195,5588.846272,3507.35,0.0,11500.0,1412.597253,1825.1765030000001,4
196,281.17037799999997,3163.69,0.0,8000.0,2422.911622,187.046284,0
197,130.25153799999998,1343.19,0.0,15000.0,1043.5592900000001,182.429461,4
198,1973.8149640000001,873.0,0.0,8000.0,541.722532,762.682834,4
199,5698.539876,47.55,2039.52804,6000.0,2976.579866,3463.1749619999996,3
200,43.103899,370.0,0.0,23000.0,1212.0542189999999,68.725483,4
201,566.546048,405.75,1044.6516179999999,2000.0,1249.835142,313.052687,1
202,24.527252999999998,261.64,0.0,4000.0,376.758504,169.78292,4
203,8350.145568,1989.28,893.7579029999999,14000.0,4720.900413,2557.0445760000002,3
204,4559.7792340000005,10848.5,0.0,7500.0,9423.715495,2925.275522,2
205,2.67713,43.39,0.0,4000.0,130.107234,29.700051000000002,4
206,1570.682346,645.32,1665.331678,1800.0,2591.391006,808.217224,1
207,7201.736985,987.1,5468.620604,10500.0,1941.5411579999998,2391.987571,3
208,6467.885013,1464.14,3947.86784,11500.0,1658.563509,1887.4135170000002,3
209,64.08090899999999,927.0,0.0,5000.0,1260.16384,59.04439,4
210,5635.860679,393.62,5933.467329,10000.0,1919.630466,1731.5493850000003,3
211,3670.50596,965.5,0.0,7500.0,1034.932404,941.496383,4
212,2458.376257,0.0,102.275984,7500.0,4543.6348100000005,647.20869,0
213,768.004936,336.41,0.0,6000.0,947.696134,217.027653,4
214,75.647479,540.0,0.0,4000.0,548.967281,48.659935,4
216,1121.730896,878.52,197.648111,1500.0,542.836917,471.49677599999995,1
217,7.56809,144.26,0.0,11500.0,134.710832,75.515008,4
218,2053.441598,493.85,1738.3337800000002,2000.0,2795.059574,2661.324808,1
219,2422.311938,4490.69,188.783221,8500.0,5763.666926,582.589765,2
220,9047.621884,11188.62,0.0,10000.0,11994.41815,8517.258683,2
221,3061.213971,1829.2,0.0,7000.0,971.234118,985.954762,4
222,41.642389,75.99,0.0,2700.0,69.163384,99.401747,4
223,5431.622968,1824.16,0.0,14500.0,1508.0164519999998,1370.519926,4
224,6571.484039,9325.22,0.0,8500.0,11036.72668,1824.6801309999998,2
225,28.461629,100.0,0.0,4000.0,125.76916899999999,104.857518,4
226,4178.625215,1431.89,0.0,4000.0,2384.542045,3868.70983,1
227,3019.019487,2260.41,0.0,8500.0,2187.930651,739.2248940000001,0
228,1.045584,0.0,466.64389500000004,1200.0,1068.581252,25.537,0
229,2723.3692170000004,10410.49,0.0,19500.0,9695.650901,726.696049,0
230,1070.999446,990.7,0.0,1400.0,505.31732800000003,438.32401699999997,0
231,279.608696,3034.92,0.0,2900.0,2928.9098649999996,2733.317012,0
232,1255.9018210000002,1038.81,1092.6347039999998,5700.0,1215.454299,422.33109800000005,4
233,2229.8572870000003,45.65,0.0,2500.0,542.7463,628.2110309999999,3
234,2363.489077,2641.98,263.884743,3000.0,1839.928884,1075.456585,2
236,7623.224897,300.0,2800.7283429999998,12000.0,1975.9741829999998,1774.5843329999998,3
237,3421.571922,126.69,154.341344,10500.0,2515.4357379999997,975.5040119999999,4
238,48.898610999999995,247.09,182.357669,5500.0,409.594792,69.921472,4
239,1874.716289,301.1,0.0,1950.0,586.974046,1089.040271,3
241,237.235398,2410.07,0.0,4000.0,3773.7274549999997,169.879335,2
242,1272.927288,5350.19,0.0,8000.0,5825.602115,318.305326,2
243,558.4767009999999,630.03,0.0,5500.0,426.092563,213.36969399999998,4
244,2814.2076260000003,3197.24,0.0,3000.0,3574.480603,1328.897516,2
245,8.061012,133.0,0.0,3000.0,130.61272,41.436595000000004,4
246,435.862142,1646.16,0.0,12000.0,1055.835407,236.61936200000002,4
247,6.390383,79.66,0.0,1500.0,75.896288,75.967742,4
248,9612.21512,319.92,13439.5704,12000.0,10993.892109999999,2501.560923,1
249,7938.559134,3677.52,0.0,12500.0,2657.856602,1912.2985440000002,4
250,2344.478291,1041.63,4003.968939,4000.0,3033.665478,716.70488,1
251,996.4822199999999,675.96,0.0,1000.0,1851.6024109999998,1382.292833,1
252,19.508047,193.14,0.0,2000.0,220.46377,71.965063,4
253,185.640313,1703.23,0.0,11500.0,1449.039414,183.29825300000002,4
254,5335.302925,0.0,468.958688,6000.0,1350.318606,1249.937085,3
255,22.189283,234.16,0.0,1500.0,479.910499,149.977816,4
256,5.8717690000000005,29.68,0.0,10000.0,76.943584,75.595199,4
257,1049.4964710000002,1322.67,774.260436,11000.0,802.3854299999999,229.65509100000003,4
258,5570.190127000001,1607.88,0.0,13500.0,1583.411686,2216.638394,4
259,1668.591831,0.0,1716.9412350000002,1800.0,2166.981163,568.063083,1
260,2224.5909460000003,3183.0,0.0,9000.0,3823.346244,629.080506,0
261,2903.781184,3014.23,103.610197,4500.0,1350.3702859999999,655.633916,0
262,2041.4800460000001,7323.38,191.331735,3000.0,3792.0950789999997,1737.8938660000001,2
263,7755.698606999999,8533.54,7540.30735,10000.0,4758.209146,7256.951816,1
264,614.263149,408.93,0.0,9000.0,2161.153147,312.343947,4
265,8097.334733,3999.92,0.0,7500.0,5624.074339,9952.672511,1
266,1082.33027,2980.46,0.0,6000.0,1116.967993,289.439818,0
267,2734.66412,560.73,0.0,7500.0,717.798364,670.049653,4
268,80.70880600000001,569.9,0.0,9500.0,634.000055,92.012927,4
269,2554.525229,6186.77,1898.690655,10950.0,11198.92613,608.3688599999999,2
270,535.947221,4550.81,438.469118,8500.0,4317.191232,208.73456000000002,0
271,3905.365959,150.8,1659.19931,7500.0,990.524408,989.783286,3
272,156.278339,1385.1,0.0,14000.0,1280.473571,193.36994199999998,4
273,5131.319584000001,32539.78,0.0,11500.0,26652.34432,1971.129435,2
274,5265.763713,410.24,15452.97758,16500.0,12005.3074,1055.547896,3
275,2.564117,47.95,0.0,1500.0,294.507498,86.245988,4
276,1873.0845769999999,126.57,181.139378,2100.0,483.557464,524.426392,3
278,1473.495809,414.0,0.0,10500.0,5863.94034,570.250342,0
279,1504.82705,2010.0,1189.292764,8500.0,859.8299460000001,479.831475,4
280,7645.108426999999,4693.15,0.0,13500.0,4786.648679999999,1741.1580239999998,0
281,1129.3375800000001,498.96,72.259355,1000.0,829.505486,1623.389428,1
282,668.956687,224.2,0.0,9500.0,568.336995,272.270427,4
283,2302.184366,2856.57,0.0,2500.0,2914.419813,2173.680619,2
284,272.711518,0.0,682.1560509999999,3000.0,2755.877257,144.621645,0
285,4246.430225,0.0,9270.408108,7000.0,6010.525656,1793.2626539999999,3
286,2420.761135,0.0,567.2337980000001,3000.0,871.7133210000001,609.206784,3
287,2935.324966,409.63,1876.241162,5000.0,580.13865,1114.588285,3
288,83.14828299999999,843.34,0.0,6500.0,1024.267592,122.850835,4
289,5469.851311,0.0,512.792701,6000.0,1362.9667980000002,2019.0278829999997,3
290,280.142117,2236.49,0.0,10000.0,1986.838064,233.614975,4
291,5790.930625999999,464.51,2516.727082,6000.0,1515.594331,2092.915898,3
292,3605.714046,1779.0,0.0,5000.0,856.0582800000001,761.012234,0
293,3992.2618850000003,0.0,348.834361,4000.0,1057.678259,1229.820066,3
294,41.833264,456.36,0.0,6000.0,370.996177,163.28761799999998,4
